frequency,name,name_english
محمدی,0.0085581142730807,Mohammadi
حسینی,0.0063571303821991,Hosseini
احمدی,0.0055194198819452,Ahmadi
رضائی,0.0049116810037181,Razai
مرادی,0.0043534092434862,Moradi
حیدری,0.0042006668975132,Heydari
کریمی,0.0041985468781705,Karimi
موسوی,0.0038215872483865,Mousavi
جعفری,0.0036787383260125,Jafari
قاسمی,0.0031814423602074,Ghasemi
عباسی,0.0031338933549508,Abbasi
رحیمی,0.0029295638716398,Rahimi
ابراهیمی,0.0029115941838783,Ibrahimi
زارعی,0.0027160476378441,Zarei
صادقی,0.0025815778395387,Sadeghi
محمودی,0.0023629129873394,Mohammadi
غلامی,0.0023595815283724,Gholami
اکبری,0.0022894189834608,Akbari
باقری,0.0021630254493179,Bagheri
میرزائی,0.002134354711541,Mirzaei
زارع,0.0021305184860639,Zarei
قربانی,0.0021240574747339,Ghorbani
صالحی,0.0020569235288832,Salehi
امیری,0.0020448091326395,Amiri
اسدی,0.0020360261953628,Asadi
یوسفی,0.0020293632774287,Yousefi
نظری,0.0019016573503594,Nazari
نوروزی,0.0018986287512985,Nowruzian
عزیزی,0.0018764190248516,Azizi
نوری,0.0018315957587498,Noori
کرمی,0.0018286681129909,Kermani
کاظمی,0.0017927287374679,Kazemi
هاشمی,0.001780210528016,Hashemi
رستمی,0.0017529531364676,Rostami
رحمانی,0.0017187299670791,Rahmani
شریفی,0.001705505084513,Sharifi
سلیمانی,0.0016960154741221,Soleimani
نجفی,0.0016744114674874,Najafi
طاهری,0.0015550846644867,Taheri
امینی,0.001549633186177,Amini
صفری,0.001471596283707,Saffari
رمضانی,0.0014448436586688,Ramazani
خسروی,0.0014273787374174,Khosravi
حسنی,0.0013955784472776,Hasani
بابائی,0.0013598409783586,Babaei
بهرامی,0.0013571152392038,Bahrami
سلطانی,0.0013205701438685,Soltani
دهقانی,0.0013171377315994,Dehqani
اسماعیلی,0.0012609067423681,Ismaili
ملکی,0.0012607048357641,Maleki
گودرزی,0.0012567676569849,Goudarzi
نصیری,0.001221434001274,Nasiri
عبدی,0.0011723706964869,Abdi
قنبری,0.0011646982455325,Ghanbari
رجبی,0.0011540981488193,Rajabi
زمانی,0.0011513724096644,Zamani
فتحی,0.0011421856591796,Fathi
سعیدی,0.0011396618266288,Saidi
منصوری,0.0011128082482885,Mansouri
بیات,0.0011009967119509,Bayat
حسن‌زاده,0.0010921128213722,Hasanzadeh
حسین زاده,0.0010911032883519,Hosseinzadeh
رنجبر,0.0010872670628747,Ranjbar
علی زاده,0.0010440590496054,Alizadeh
علی پور,0.0010179121443793,Ali Pour
سلیمی,0.0010021634292625,Salimi
شفیعی,0.0009816699089502,Shafiei
خلیلی,0.0009783384499831,Khalili
محمدزاده,0.0009774298702649,Mohammadzadeh
علیزاده,0.0009610754353358,Alizadeh
رسولی,0.0009277608456656,Rasouli
اسکندری,0.0009276598923635,Eskandari
حبیبی,0.0009101949711122,Habibi
لطفی,0.0009079739984675,Lotfi
رئیسی,0.0009072673253533,Raisi
نادری,0.0009043396795944,Naderi
دهقان,0.0009017148937416,Dahghan
عسگری,0.0008977777149623,Asgari
ناصری,0.0008916195635384,Naseri
قادری,0.0008871776182491,Ghadiri
رشیدی,0.0008728422493607,Rashidi
غفاری,0.0008625450125535,Ghafari
بختیاری,0.0008453829512082,Bakhtiari
سالاری,0.0008451810446041,Salari
توکلی,0.0008407390993148,Tavakoli
عابدی,0.0008314513955279,Abedi
شهبازی,0.0008311485356218,Shahbazi
شعبانی,0.000828422796467,Shabani
نعمتی,0.0008193369992842,Ni'mati
یزدانی,0.0008165103068273,Yazdani
حسین پور,0.0008098473888933,Hosseinpour
اسمعیلی,0.0008045978171877,Ismaili
انصاری,0.0008027806577511,Ansari
عظیمی,0.0007953101134008,Azimi
جمشیدی,0.0007902624482992,Jamshidi
جلالی,0.0007901614949972,Jalali
عبدالهی,0.0007875367091444,Abdollahi
فرجی,0.000770071787893,Faraji
عسکری,0.0007627021968448,Askari
همتی,0.0007533135397559,Hamati
داودی,0.0007522030534335,Davoodi
جمالی,0.0007514963803193,Jamali
رفیعی,0.0007351419453903,Rafiei
طالبی,0.0007333247859537,Talebi
تیموری,0.0007321133463293,Timuri
کیانی,0.0007238351755628,Kiani
حسن‌پور,0.0007173741642328,Hasanpour
مختاری,0.00071474937838,Mokhtari
حاتمی,0.0007139417519637,Hatami
کشاورز,0.0006918329788189,Farmer
شجاعی,0.0006905205858925,Shojaei
اصغری,0.0006886024731539,Asghari
خانی,0.0006868862670194,Khani
یعقوبی,0.0006857757806971,Yaghoubi
معصومی,0.0006843624344686,Masoumi
آقائی,0.000682141461824,Aghaei
عبداللهی,0.0006819395552199,Abdollahi
حمیدی,0.0006742671042655,Hamidi
فرهادی,0.0006729547113391,Farhadi
محمدپور,0.0006690175325599,Mohammadpour
سهرابی,0.0006581145759406,Sohrabi
رحمتی,0.000653066910839,Rahmati
اسلامی,0.0006519564245167,Eslami
کمالی,0.0006462020863009,Kamali
درویشی,0.0006387315419506,Darvishi
ایزدی,0.0006294438381637,Izadi
مقدم,0.0006027921664275,Moghadam
شکری,0.0006014797735011,Shokri
محمدیان,0.0005968359216077,Mohammadian
جوکار,0.0005882548909351,Javakar
عبادی,0.0005875482178208,Abadi
مهدوی,0.0005790681404502,Mahdavi
خزائی,0.0005779576541279,Khazai
بخشی,0.0005723042692141,Bakhshi
ترابی,0.000571698549402,Torabi
براتی,0.0005666508843004,Barati
محبی,0.0005505993092775,Mohabbi
مظفری,0.0005378791932215,Mozafari
فتاحی,0.000536062033785,Fattahi
میری,0.0005347496408586,Miri
فلاح,0.0005340429677444,Fallah
ریگی,0.000526471470092,Rigi
ایمانی,0.0005238466842392,Imani
افشاری,0.0005220295248027,Afshari
قهرمانی,0.0005218276181986,Champion
شیخی,0.0005177894861174,Sheikhi
صمدی,0.0005175875795133,Samadi
طهماسبی,0.0005168809063991,Tahmasbi
جباری,0.000516678999795,Jabari
امامی,0.0005114294280894,Imami
محسنی,0.0005111265681833,Mohseni
آزادی,0.000510217988465,Azadi
ذوالفقاری,0.0005096122686528,Zolfaqari
عرب,0.0005057760431757,Arab
امیدی,0.0005044636502493,Omidi
برزگر,0.0005032522106249,Farmer
ناروئی,0.0005021417243025,Naroui
بهمنی,0.0004996178917518,Bahmani
تقی زاده,0.0004948730865563,Taghizadeh
سیفی,0.0004914406742872,Seyfi
پناهی,0.0004825567837085,Panahi
ملائی,0.000480941530876,Malai
چراغی,0.0004793262780435,Chiraghi
جوادی,0.0004793262780435,Javadi
فلاحی,0.0004755910058684,Fallahi
خادمی,0.0004751871926602,Khadami
صابری,0.0004704423874648,Saberi
خدادادی,0.0004644861426449,Khodayadi
عباس زاده,0.0004640823294368,Abbaszadeh
سلمانی,0.0004634766096246,Salmani
مولائی,0.0004563089251804,Molaei
شیری,0.0004522707930992,Shiri
جهانگیری,0.0004503526803606,Jahangiri
امانی,0.0004501507737565,Emani
قلی زاده,0.000445204061957,Gholizadeh
شمسی,0.0004446992954469,Shamsi
مؤمنی,0.0004371277977945,Momeni
حاجی‌زاده,0.0004367239845864,Haji Zadeh
شاکری,0.0004340991987336,Shakiri
صفائی,0.0004303639265584,Safai
فیروزی,0.0004287486737259,Firoozi
افشار,0.0004242057751345,Afshar
زاهدی,0.0004240038685305,Zahdi
زنگنه,0.000422489569,Zangeneh
احمدیان,0.000422388615698,Ahmadian
فراهانی,0.0004211771760736,Farahani
رضوی,0.0004208743161675,Razavi
اسفندیاری,0.000419158110033,Esfandiari
شهریاری,0.0004173409505964,Shahriari
ربیعی,0.0004110818458705,Rabiei
ذاکری,0.0004033084416141,Zaheri
عطائی,0.0004022989085938,Attai
جلیلی,0.0004007846090633,Jalili
علوی,0.0003977560100024,Alavi
فیضی,0.0003968474302841,Feyzi
احمدزاده,0.0003923045316927,Ahmadzadeh
یاری,0.0003902854656521,Yari
ویسی,0.000390083559048,Veisi
عابدینی,0.0003890740260277,Abedini
تاجیک,0.0003879635397054,Tajik
دارابی,0.0003877616331013,Darabi
مجیدی,0.0003853387538526,Majidi
سوری,0.0003811996684693,Souri
رضازاده,0.0003809977618652,Reza Zadeh
فاضلی,0.0003745367505353,Fazeli
خدائی,0.0003699938519439,Khodaei
ولی زاده,0.0003631290274057,Valizadeh
کارگر,0.0003615137745732,Worker
صیادی,0.0003611099613651,Siyadi
شه بخش,0.000357475642492,Shahbakhsh
کشاورزی,0.0003560622962636,Keshavarzi
صدیقی,0.000354245136827,Sadeghi
شرفی,0.0003529327439006,Sharafi
جهانی,0.0003528317905986,Jahani
یاوری,0.0003465726858726,Yavari
علی محمدی,0.0003457650594564,Ali Mohammadi
مسعودی,0.0003447555264361,Masoudi
تقوی,0.0003446545731341,Taqvi
قلی پور,0.0003431402736036,Gholi Pour
سیدی,0.0003427364603955,Seyedi
سواری,0.0003395059547305,Savari
سجادی,0.0003389002349183,Sajadi
مهدی زاده,0.0003369821221797,Mahdizadeh
کلانتری,0.0003360735424614,Kalantari
غفوری,0.0003345592429309,Ghafouri
دشتی,0.0003342563830249,Dashti
سبحانی,0.0003309249240578,Sobhani
اصلانی,0.000328098231601,Aslani
مهری,0.0003273915584867,Mahri
جعفرزاده,0.0003272906051847,Jafarzadeh
عباس پور,0.0003271896518827,Abbaspour
فرخی,0.0003267858386746,Farrokhi
فولادی,0.00031860862121,Fooladi
مردانی,0.00031860862121,Mardani
پیری,0.0003158828820552,Piri
واحدی,0.0003140657226186,Vahidi
بیگدلی,0.0003124504697861,Bigdeli
طباطبائی,0.0003124504697861,Tabatabai
لطیفی,0.0003123495164841,Latifi
نصرتی,0.00031214760988,Nasrati
عبدلی,0.0003117437966719,Abdali
سعادتی,0.0003093209174232,Saadati
بهادری,0.0003092199641211,Bahadari
اشرفی,0.0003089171042151,Ashrafi
قبادی,0.0003084123377049,Ghavadi
خالقی,0.0003082104311008,Khalighi
زندی,0.0003068980381744,Zandi
گل محمدی,0.0003059894584562,Gol Mohammadi
حدادی,0.0003048789721338,Haddadi
تقی پور,0.0003034656259054,Taghipour
ملاحی,0.0003014465598648,Mollahi
علی نژاد,0.0003009417933546,Alinajad
افتخاری,0.0003005379801465,Aftakhari
یاراحمدی,0.0002988217740119,Yar Ahmadi
روستا,0.0002974084277835,Rostam
مرتضوی,0.0002971055678774,Mortezavi
روستائی,0.0002964998480652,Rostayi
شیرازی,0.0002896350235271,Shirazi
احمدپور,0.000289130257017,Ahmadpour
خیری,0.0002888273971109,Kheiri
فدائی,0.0002870102376743,Fadai
بلوچ,0.0002867073777682,Baluch
رستگار,0.0002857987980499,Rostegar
الماسی,0.0002854959381438,Almasi
سارانی,0.0002841835452174,Sarani
جلیلیان,0.000282770198989,Jalilian
داوری,0.000282669245687,Dawari
عبداله زاده,0.0002818616192707,Abdollahzadeh
شیروانی,0.0002814578060626,Shirvani
مرادیان,0.0002812558994585,Moradian
مقصودی,0.0002807511329484,Maqsoodi
زینلی,0.0002793377867199,Zeynali
شمس,0.0002766120475651,Shams
کریمیان,0.0002735834485042,Karimian
بیرانوند,0.0002735834485042,Biranoond
فرامرزی,0.0002725739154839,Farahmazar
رضوانی,0.0002720691489737,Rizvani
پارسا,0.0002713624758595,Parsā
ترکاشوند,0.0002693434098189,Torkashvand
ابراهیم‌زاده,0.0002682329234965,Ibrahimzadeh
طیبی,0.0002679300635904,Tayebi
ساعدی,0.0002677281569864,Saadi
عساکره,0.0002676272036843,Asakereh
عامری,0.0002667186239661,Amiri
عزتی,0.0002662138574559,Ezati
وفائی,0.0002652043244356,Vafaee
آزاد,0.0002649014645295,Azad
فریدونی,0.0002645986046234,Fariduni
حیدریان,0.0002642957447173,Heidarian
دوستی,0.000263286211697,Dosti
حقیقی,0.0002629833517909,Haghighi
وکیلی,0.0002625795385828,Vakili
نیازی,0.0002618728654686,Niazi
اکبرزاده,0.0002618728654686,Akbarzadeh
فاطمی,0.0002602576126361,Fatemi
بیگی,0.0002596518928239,Biggy
قدیمی,0.0002587433131056,Ghadimi
بلوچی,0.0002580366399914,Baluchi
ضیائی,0.0002580366399914,Ziaei
ساکی,0.0002573299668772,Saki
عاشوری,0.0002558156673467,Ashouri
نعیمی,0.0002548061343264,Naimi
هدایتی,0.0002523832550776,Hedayati
خرمی,0.0002518784885675,Khorrami
مهرابی,0.0002513737220573,Mehrabi
صحرائی,0.0002510708621512,Desert
خراسانی,0.0002507680022452,Khorasani
خضری,0.0002504651423391,Khadari
الیاسی,0.0002500613291309,Elyasi
بیاتی,0.0002499603758289,Biyati
مهدی پور,0.0002494556093187,Mahdipur
خالدی,0.0002487489362045,Khaledi
مددی,0.0002486479829025,Modadi
کوهی,0.0002485470296005,Kohi
صبوری,0.0002473355899761,Sabouri
عربی,0.0002472346366741,Arabi
روحانی,0.0002464270102578,Rohani
صداقت,0.0002462251036538,Sadaqat
نجاتی,0.0002460231970497,Najati
خورشیدی,0.0002457203371436,Khorshidi
بامری,0.0002445088975192,Bamari
سرلک,0.0002445088975192,Sarlak
شهرکی,0.000243802224405,Shahraki
روحی,0.000243701271103,Rohi
پرویزی,0.0002414802984583,Parvizi
گنجی,0.0002413793451563,Ganjii
شریعتی,0.0002399659989278,Shariati
ولی پور,0.0002398650456258,Vali Pour
کاویانی,0.0002396631390217,Kaviani
مقدسی,0.0002394612324177,Maqdisi
شبانی,0.0002394612324177,Shabani
صادقیان,0.0002390574192095,Sadeghian
نورمحمدی,0.0002389564659075,Noormohammadi
خواجه,0.0002379469328872,Khadjeh
قائدی,0.0002376440729811,Ghaderi
البوغبیش,0.0002376440729811,Alboghabish
افضلی,0.000237139306471,Afzali
باوی,0.0002369373998669,Bavi
فضلی,0.0002360288201486,Fazli
شهابی,0.0002356250069405,Shahabi
معینی,0.0002350192871283,Moieni
سلگی,0.0002348173805242,Solegi
غریبی,0.0002325964078796,Gharibi
قریشی,0.0002316878281613,Gharishi
خدری,0.0002311830616511,Khodari
عباسیان,0.0002309811550471,Abbasiان
نیسی,0.0002301735286308,Nissi
آذری,0.0002298706687247,Azari
خدابنده لو,0.0002291639956105,Khoda Bandoo Lou
شاهی,0.0002290630423085,Shahi
یزدان پناه,0.0002279525559861,Yazdanpanah
بشیری,0.0002277506493821,Bashiri
شیخ,0.0002277506493821,Sheikh
رضاپور,0.0002265392097577,Rezapour
بهزادی,0.0002257315833414,Behzadi
بارانی,0.0002256306300394,Barani
مصطفوی,0.0002255296767374,Mostafavi
آقاجانی,0.0002249239569252,Aghajani
محمدنژاد,0.0002245201437171,Mohammadi Nejad
اسماعیل‌زاده,0.0002226020309785,Ismailzadeh
رجائی,0.000220885824844,Rajaei
باقرزاده,0.0002205829649379,Bagherzadeh
میر,0.0002193715253135,Mir
شاه‌محمدی,0.0002186648521993,Shahmohammadi
طاهرخانی,0.0002183619922932,Taherkhani
شهسواری,0.0002180591323871,Shahsavari
مظاهری,0.0002180591323871,Mozaheri
محمدخانی,0.0002174534125749,Mohammadi Khani
حاجی پور,0.0002166457861586,Hajipour
رنجبری,0.0002148286267221,Ranjbari
بهاری,0.0002138190937018,Bahari
فاتحی,0.0002134152804937,Fatahi
رزاقی,0.0002128095606815,Razaghi
کریم زاده,0.0002126076540774,Karimzadeh
حیاتی,0.0002123047941713,Hayati
قاسم‌زاده,0.0002114971677551,Ghasemzadeh
درخشان,0.0002106895413388,Brilliant
مقیمی,0.0002100838215266,Moghimi
مالکی,0.0002097809616205,Maleki
سالمی,0.0002082666620901,Salami
جابری,0.0002074590356738,Jabari
علیخانی,0.0002069542691637,Ali Khani
براهوئی,0.0002055409229352,Barahoui
شیرمحمدی,0.0002041275767068,Shir Mohammadi
الهی,0.0002039256701027,Elahi
عمرانی,0.0002036228101966,Omrani
علی‌آبادی,0.0002029161370824,Aliabadi
هوشمند,0.0002026132771763,Intelligent
پاشائی,0.000201704697458,Pashayi
رضائیان,0.0002011999309479,Razayan
صدری,0.0002005942111357,Sadrie
معتمدی,0.0002003923045316,Mo'tamedi
ربانی,0.0001997865847195,Rabbani
حیدرزاده,0.0001996856314174,Heydarzadeh
حشمتی,0.0001994837248134,Hashmati
وزیری,0.0001988780050012,Vaziri
احسانی,0.0001973637054707,Ehsani
سمیعی,0.0001971617988666,Samiei
عبدالملکی,0.0001967579856585,Abdolmaleki
